Plant ID,Plant,Group,Treatment,Temp,CO2,Day 0,Day 0,Day 0,Day 1,Day 1,Day 1,Day 2,Day 2 ,Day 2,Day 3,Day 3,Day 3,Day 4,Day 4,Day 4,Day 5,Day 5,Day 5,Day 6,Day 6,Day 6,Day 7,Day 7,Day 7,Day 8,Day 8,Day 8,Day 9,Day 9,Day 9,Final_adaxial_AVG,Final_Abaxial_AVG,LCI_4,LCI_4,LCI_4,LCI_5,LCI_5,LCI_5,LCI_6,LCI_6,LCI_6,LCI_7,LCI_7,LCI_7,LCI_9,LCI_9,LCI_9,LCI_15,LCI_15,LCI_15,Final_LCI_Avg,Fresh_Mass,DryMass,Leaf_Disc
Sl0304,S.lycopersicum,Sl03,eCO2,30,800,,,,,,,,,,,,,,,,50,42,,,,,54,43,,,,,50,43,,47.50,42.50,,,,,,,,,,,,,,,,,,,,13.14,3.46,
Sl0401,S.lycopersicum,Sl04,Control,30,400,,,,,,,,,,,,,,,,60,67,,,,,55,59,,,,,50,49,,53.25,36.75,,,,,,,,,,,,,,,,,,,,20.10,3.68,
Sl0402,S.lycopersicum,Sl04,Control,30,400,,,,,,,,,,,,,,,,54,55,,,,,57,47,,,,,48,45,,49.25,40.75,,,,,,,,,,,,,,,,,,,,23.51,4.04,
Sl0403,S.lycopersicum,Sl04,Control,30,400,,,,,,,,,,,,,,,,60,51,,,,,60,57,,,,,62,58,,59.25,30.75,,,,,,,,,,,,,,,,,,,,18.16,3.23,
Sl0404,S.lycopersicum,Sl04,Control,30,400,,,,,,,,,,,,,,,,67,53,,,,,57,58,,,,,61,56,,58.00,32.00,,,,,,,,,,,,,,,,,,,,23.67,3.61,
E0101,S.melongena,E01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,50,41,,,,,60,40,29,,,,,,,43.00,47.00,,,,,,,,,,,,,,,,,,,,42.77,9.38,0.0107
E0102,S.melongena,E01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,47,41,,,,,55,43,29,,,,,,,42.33,47.67,,,,,,,,,,,,,,,,,,,,17.93,3.37,0.0081
E0103,S.melongena,E01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,53,42,,,,,64,34,25,,,,,,,41.00,49.00,,,,,,,,,,,,,,,,,,,,25.24,5.62,0.0087
E0104,S.melongena,E01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,51,41,,,,,46,37,27,,,,,,,36.67,53.33,,,,,,,,,,,,,,,,,,,,47.82,9.96,0.0106
E0201,S.melongena,E02,Control,30,400,,,,,,,,,,,,,,,,59,56,,,,,68,61,44,,,,,,,57.67,32.33,,,,,,,,,,,,,,,,,,,,19.04,3.46,0.0079
E0202,S.melongena,E02,Control,30,400,,,,,,,,,,,,,,,,61,60,,,,,71,56,41,,,,,,,56.00,34.00,,,,,,,,,,,,,,,,,,,,19.73,3.64,0.0092
